primID   auxID  Station name            Lat.(N)    Long.(E)     Xgrid    Ygrid      Elev  NXpos  NYpos   Last moved Date
123456  123456  1234567890123456789  1234567890  1234567890  12345678  12345678  1234567  12345  12345  1234567890123456
------  ------  -------------------  ----------  ----------  --------  --------  -------  -----  -----  ----------------
000361  000361  ---------              38.00530   127.24470     64.24    136.28     85.0   64.0  136.0  2008.07.16.00:00
000364  000364  ---------              37.38280   127.11890     62.29    122.76     61.0   62.0  123.0  2008.09.09.00:00
000365  000365  ---------              37.40890   126.89530     58.43    123.27     42.0   58.0  123.0  2008.09.09.00:00
000366  000366  ---------              37.35500   126.97530     59.82    122.12    114.0   60.0  122.0  2008.09.09.00:00
000367  000367  ---------              37.40610   126.78440     56.52    123.19     26.0   57.0  123.0  2008.09.09.00:00
000368  000368  ---------              37.59920   127.15030     62.76    127.46     49.0   63.0  127.0  2010.08.16.00:00
000369  000369  ---------              37.36420   126.91690     58.81    122.31    124.0   59.0  122.0  2008.09.09.00:00
000370  000370  ---------              37.17890   127.25000     64.61    118.37    241.0   65.0  118.0  2008.08.12.00:00
000371  000371  ---------              37.27720   127.11640     62.27    120.46    121.0   62.0  120.0  2008.08.14.00:00
000372  000372  ---------              37.87220   127.02670     60.56    133.34    108.0   61.0  133.0  2009.01.12.09:00
000373  000373  ---------              37.77060   127.04580     60.92    131.15    163.0   61.0  131.0  2010.08.05.00:00
000374  000374  ---------              37.04670   126.97060     59.82    115.43     50.4   60.0  115.0  2010.08.05.00:00
000375  000375  ---------              37.79190   126.98750     59.91    131.60    150.0   60.0  132.0  2009.05.21.00:00
000380  000380  ---------              37.88583   126.86639     57.82    133.61     35.0   58.0  134.0  2009.04.01.00:00
000381  000381  ---------              38.25000   127.42111     67.16    141.63    204.0   67.0  142.0  2009.04.01.00:00
000382  000382  ---------              38.10861   128.03444     77.66    138.79    221.0   78.0  139.0  2009.04.01.00:00
000383  000383  ---------              37.87000   127.55000     69.51    133.44     56.0   70.0  133.0  2009.04.01.00:00
000384  000384  ---------              37.96333   128.08556     78.62    135.67    235.0   79.0  136.0  2009.04.01.00:00
000385  000385  ---------              37.68410   128.76100     90.36    129.97    842.0   90.0  130.0  2009.04.01.00:00
000387  000387  ---------              37.02139   126.79583     56.80    114.85     40.0   57.0  115.0  2009.04.01.00:00
000388  000388  ---------              36.49694   127.20722     64.10    103.54     33.0   64.0  104.0  2009.04.01.00:00
000389  000389  ---------              36.85972   128.55695     87.43    111.98    218.0   87.0  112.0  2009.04.01.00:00
000390  000390  ---------              36.10889   127.48695     69.14     95.19    102.0   69.0   95.0  2009.04.01.00:00
000391  000391  ---------              36.12333   128.36555     84.58     95.87     43.0   85.0   96.0  2008.09.01.00:00
000392  000392  ---------              38.21056   128.36555     83.24    141.15     98.0   83.0  141.0  2008.09.01.00:00
000393  000393  ---------              36.40833   128.15723     80.75    101.97     92.0   81.0  102.0  2008.09.01.00:00
000394  000394  ---------              35.64917   128.73528     91.43     85.76     91.0   91.0   86.0  2008.09.01.00:00
000395  000395  ---------              37.60667   127.34861     66.16    127.67     40.0   66.0  128.0  2008.09.01.00:00
000396  000396  ---------              37.20750   127.75278     73.29    119.15     64.0   73.0  119.0  2008.09.01.00:00
000397  000397  ---------              37.68111   127.88250     75.29    129.47    146.0   75.0  129.0  2008.09.01.00:00
000398  000398  ---------              37.82195   126.98583     59.87    132.25    106.0   60.0  132.0  2008.09.01.00:00
000399  000399  ---------              38.06750   127.52556     69.01    137.71    288.0   69.0  138.0  2008.09.01.00:00
000400  000400  ---------              37.51340   127.04699     61.01    125.57     59.6   61.0  126.0  2010.08.16.00:00
000401  000401  ---------              37.48891   127.01562     60.48    125.03     35.5   60.0  125.0  2010.08.16.00:00
000402  000402  ---------              37.55551   127.14498     62.68    126.51     56.9   63.0  127.0  2010.08.16.00:00
000403  000403  ---------              37.51151   127.09670     61.86    125.54     53.6   62.0  126.0  2010.08.16.00:00
000404  000404  ---------              37.54992   126.84253     57.48    126.32     79.1   57.0  126.0  2010.08.16.00:00
000405  000405  ---------              37.52961   126.87819     58.10    125.89      9.7   58.0  126.0  2010.08.16.00:00
000406  000406  ---------              37.66612   127.02946     60.67    128.88     55.5   61.0  129.0  2010.08.16.00:00
000407  000407  ---------              37.62101   127.09683     61.83    127.92     52.0   62.0  128.0  2010.08.16.00:00
000408  000408  ---------              37.58463   127.06036     61.22    127.12     49.4   61.0  127.0  2010.08.16.00:00
000409  000409  ---------              37.58550   127.08682     61.67    127.14     40.2   62.0  127.0  2010.08.16.00:00
000410  000410  ---------              37.49371   126.91809     58.80    125.12     33.8   59.0  125.0  2010.08.16.00:00
000411  000411  ---------              37.55174   126.90277     58.52    126.37     25.5   59.0  126.0  2010.08.16.00:00
000412  000412  ---------              37.57046   126.94076     59.17    126.79    100.6   59.0  127.0  2010.08.16.00:00
000413  000413  ---------              37.53100   127.08750     61.70    125.96     38.0   62.0  126.0  2011.08.24.17:47
000414  000414  ---------              37.61172   126.99943     60.16    127.69    125.9   60.0  128.0  2010.08.16.00:00
000415  000415  ---------              37.52037   126.97609     59.79    125.71     32.6   60.0  126.0  2010.08.16.00:00
000416  000416  ---------              37.64440   126.94530     59.23    128.39     70.0   59.0  128.0  2011.08.25.19:33
000417  000417  ---------              37.46551   126.90015     58.50    124.50     41.5   58.0  125.0  2010.08.16.00:00
000418  000418  ---------              37.52490   126.93906     59.15    125.80     10.7   59.0  126.0  2010.08.16.00:00
000419  000419  ---------              37.55237   126.98736     59.97    126.40    266.4   60.0  126.0  2010.08.16.00:00
000421  000421  ---------              37.54720   127.03884     60.86    126.30     33.7   61.0  126.0  2010.08.16.00:00
000422  000422  ---------              37.60300   126.98400     59.90    127.50    332.6   60.0  128.0  2010.11.03.09:38
000423  000423  ---------              37.49418   126.82650     57.22    125.11     53.5   57.0  125.0  2010.08.16.00:00
000424  000424  ---------              37.63970   127.02572     60.61    128.31     55.7   61.0  128.0  2010.08.16.00:00
000425  000425  ---------              37.46300   126.98600     59.97    124.47     87.1   60.0  124.0  2010.11.03.09:38
000430  000430  ---------              37.27183   127.01183     60.47    120.32    103.0   60.0  120.0  2003.08.12.15:00
000431  000431  ---------              37.74603   127.07394     61.41    130.62     67.0   61.0  131.0  2003.09.05.15:00
000432  000432  ---------              37.25511   127.03786     60.92    119.97     58.0   61.0  120.0  2003.08.14.12:00
000433  000433  ---------              37.49758   126.76659     56.19    125.17     29.0   56.0  125.0  2003.08.13.12:00
000434  000434  ---------              37.39158   126.95892     59.53    122.91     96.0   60.0  123.0  2003.08.13.17:00
000435  000435  ---------              37.32431   126.82120     57.17    121.42     32.0   57.0  121.0  2003.08.12.19:00
000436  000436  ---------              37.23139   127.18928     63.55    119.49    123.0   64.0  119.0  2003.08.11.16:00
000437  000437  ---------              37.47578   126.86647     57.91    124.72     68.0   58.0  125.0  2010.08.16.00:00
000438  000438  ---------              37.35872   126.93747     59.16    122.19     97.0   59.0  122.0  2003.08.12.14:00
000439  000439  ---------              37.20605   127.03778     60.94    118.90     66.0   61.0  119.0  2003.08.12.17:00
000440  000440  ---------              37.27500   127.44239     67.90    120.51    168.0   68.0  121.0  2003.08.14.12:00
000441  000441  ---------              37.64683   126.70472     55.10    128.40     32.0   55.0  128.0  2003.09.05.14:00
000442  000442  ---------              37.41605   127.28783     65.19    123.52     53.0   65.0  124.0  2007.12.07.11:00
000443  000443  ---------              37.01972   127.29195     65.40    114.92     90.0   65.0  115.0  2003.08.11.19:00
000444  000444  ---------              37.53592   127.21555     63.90    126.10     37.0   64.0  126.0  2003.08.14.15:00
000445  000445  ---------              37.34172   126.97095     59.75    121.83     94.0   60.0  122.0  2003.08.12.17:00
000446  000446  ---------              37.13739   127.06578     61.44    117.42     32.0   61.0  117.0  2003.08.14.15:00
000447  000447  ---------              37.32622   127.68127     72.00    121.70     72.0   72.0  122.0  2003.08.11.15:00
000448  000448  ---------              37.39878   127.44517     67.90    123.19    131.0   68.0  123.0  2003.08.11.14:00
000449  000449  ---------              37.50728   127.45222     67.98    125.55     44.0   68.0  126.0  2003.08.09.18:00
